Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      14.4292       1.5746900    0.0982020
      14.4598       1.5552200     0.113461
      14.4904       1.5510499     0.123811
      14.5213       1.5470901     0.130120
      14.5522       1.5429500     0.129960
      14.5833       1.5311000     0.130930
      14.6146       1.5170300     0.141610
      14.6459       1.5182000     0.159278
      14.6774       1.5267500     0.161320
      14.7091       1.5267100     0.155450
      14.7408       1.5147901     0.157400
      14.7727       1.5201100     0.167429
      14.8048       1.5178100     0.160360
      14.8370       1.5177000     0.169419
      14.8693       1.5227100     0.164320
      14.9017       1.5295399     0.162738
      14.9344       1.5253100     0.143683
      14.9671       1.5267500     0.148469
      15.0000       1.5273600     0.103700
      15.0330       1.4679101     0.104691
      15.0662       1.4653300     0.144299
      15.0996       1.4874500     0.138729
      15.1330       1.4718100     0.119581
      15.1667       1.4606600     0.130759
      15.2004       1.4613900     0.120851
      15.2344       1.4423200     0.122030
      15.2685       1.4407099     0.129370
      15.3027       1.4429300     0.126130
      15.3371       1.4342099     0.111520
      15.3716       1.4182500     0.114030
      15.4063       1.4136100     0.108650
      15.4412       1.3948100     0.104751
      15.4762       1.3780400     0.111690
      15.5114       1.3756300     0.122909
      15.5467       1.3673300     0.113372
      15.5822       1.3515800     0.133149
      15.6179       1.3735000     0.130280
      15.6537       1.3538800     0.109020
      15.6897       1.3390400     0.114000
      15.7258       1.3246100     0.114381
      15.7621       1.3191000     0.126199
      15.7986       1.3239501     0.114410
      15.8353       1.2948600     0.102202
      15.8721       1.2755300     0.120558
      15.9091       1.2731400     0.132950
      15.9463       1.2873000     0.136260
      15.9836       1.2754300     0.102591
      16.0211       1.2446400     0.112550
      16.0588       1.2381400     0.109590
      16.0967       1.2172700     0.118970
      16.1348       1.2171700     0.109780
      16.1730       1.1774700     0.112873
      16.2114       1.1770400     0.139479
      16.2500       1.1789600     0.132090
      16.2888       1.1697900     0.116121
      16.3277       1.1258000     0.111820
      16.3669       1.1114900     0.147059
      16.4063       1.1172500     0.138330
