 ICOMP=17: Draine 2003 astrosilicate                 0.1000 = grain radius (micron)   20.00 = grain temperature (K)     837 = number of wavelengths  wave(um)      eps_1-1    eps_2      Re(n)-1     Im(n)

Wavelength [microns]  Re(m)       Im(m)
   0.00281782      0.99705100  0.000492700
   0.00295200      0.99671602  0.000575900
   0.00309960      0.99633998  0.000677500
   0.00326274      0.99591100  0.000803300
   0.00344400      0.99541700  0.000960900
   0.00364659      0.99484199   0.00115900
   0.00387450      0.99416900   0.00141200
   0.00413280      0.99336898   0.00174000
   0.00427531      0.99291700   0.00194000
   0.00442800      0.99241298   0.00217000
   0.00459200      0.99186999   0.00243600
   0.00476862      0.99126500   0.00274300
   0.00495936      0.99059999   0.00310100
   0.00516600      0.98984998   0.00352000
   0.00539061      0.98904997   0.00401100
   0.00563564      0.98816001   0.00459100
   0.00590400      0.98715001   0.00527800
   0.00619920      0.98604000   0.00609500
   0.00635815      0.98544002   0.00656100
   0.00652547      0.98479003   0.00706200
   0.00670184      0.98409998   0.00762100
   0.00688800      0.98334998   0.00827300
   0.00696539      0.98303002   0.00857600
   0.00704455      0.98275000   0.00893400
   0.00708480      0.98264003   0.00911300
   0.00710103      0.98260999   0.00917500
   0.00712552      0.98255998   0.00924100
   0.00716671      0.98241001   0.00935500
   0.00720837      0.98227000   0.00949800
   0.00725053      0.98215002   0.00964700
   0.00729318      0.98201001   0.00973000
   0.00733633      0.98180002   0.00983900
   0.00738000      0.98158002    0.0100100
   0.00742419      0.98136997    0.0101900
   0.00746892      0.98119003    0.0104300
   0.00751418      0.98104000    0.0106500
   0.00756000      0.98091000    0.0108900
   0.00758312      0.98088998    0.0110100
   0.00760638      0.98087001    0.0110600
   0.00765333      0.98071998    0.0111600
   0.00770087      0.98051000    0.0112800
   0.00774900      0.98027998    0.0114700
   0.00779774      0.98005003    0.0116800
   0.00784709      0.97978002    0.0119300
   0.00786700      0.97965002    0.0120900
   0.00788702      0.97953999    0.0123000
   0.00790714      0.97950000    0.0125800
   0.00792737      0.97956002    0.0128200
   0.00794769      0.97968000    0.0130600
   0.00796812      0.97995001    0.0132200
   0.00798866      0.98027998    0.0131500
   0.00800930      0.98040998    0.0128300
   0.00803005      0.98026001    0.0125700
   0.00805091      0.98005998    0.0125100
   0.00810353      0.97965997    0.0125000
   0.00815684      0.97927999    0.0126400
   0.00821086      0.97898000    0.0128400
   0.00826560      0.97869998    0.0130300
   0.00832107      0.97842997    0.0132600
   0.00837730      0.97816998    0.0134800
   0.00843429      0.97794002    0.0137100
   0.00849206      0.97768998    0.0139100
   0.00850370      0.97763002    0.0139500
   0.00855062      0.97740000    0.0141400
   0.00885600      0.97605997    0.0154300
   0.00918400      0.97435999    0.0168500
   0.00953723      0.97233999    0.0191300
   0.00961116      0.97192001    0.0197600
   0.00968625      0.97148001    0.0204900
   0.00976252      0.97113001    0.0214300
   0.00984000      0.97113001    0.0225800
   0.00991872      0.97158003    0.0235400
   0.00995056      0.97193003    0.0237900
   0.00999871      0.97219002    0.0237300
    0.0101626      0.97250003    0.0240700
    0.0103320      0.97220999    0.0238500
    0.0104188      0.97138000    0.0236400
    0.0105071      0.97030002    0.0243500
    0.0105969      0.96938002    0.0251900
    0.0106883      0.96881002    0.0267800
    0.0107812      0.96877998    0.0282000
    0.0108758      0.96950001    0.0298600
    0.0109720      0.97097999    0.0303100
    0.0110110      0.97140002    0.0299300
    0.0110700      0.97135001    0.0294200
    0.0111697      0.97047001    0.0290700
    0.0112713      0.96939999    0.0297700
    0.0113747      0.96856999    0.0307700
    0.0114800      0.96656001    0.0321300
    0.0115873      0.96566999    0.0376900
    0.0116966      0.97084999    0.0448900
    0.0117409      0.97653997    0.0463100
    0.0118080      0.98330998    0.0412000
    0.0119215      0.98295999    0.0308100
    0.0120373      0.97843999    0.0281300
    0.0121553      0.97558999    0.0277000
    0.0122756      0.97390997    0.0280800
    0.0123984      0.97258002    0.0280500
    0.0125236      0.97112000    0.0284800
    0.0126514      0.97002000    0.0291500
    0.0127819      0.96925998    0.0297400
    0.0129150      0.96836001    0.0298900
    0.0129420      0.96797001    0.0298500
    0.0130510      0.96683002    0.0309800
    0.0131898      0.96649998    0.0325500
    0.0132461      0.96686000    0.0330100
    0.0133316      0.96720999    0.0327500
    0.0134765      0.96630001    0.0320800
    0.0136246      0.96485001    0.0324700
    0.0137760      0.96366000    0.0331900
    0.0139308      0.96262997    0.0340500
    0.0140891      0.96166998    0.0349000
    0.0142510      0.96073997    0.0358500
    0.0144167      0.95986003    0.0368400
    0.0145863      0.95905000    0.0378600
    0.0147600      0.95824999    0.0388300
    0.0147952      0.95806998    0.0390100
    0.0149378      0.95736003    0.0398600
    0.0151200      0.95652002    0.0409500
    0.0153067      0.95568001    0.0420900
    0.0154980      0.95485997    0.0432600
    0.0156942      0.95403999    0.0444500
    0.0158954      0.95319998    0.0456600
    0.0161018      0.95232999    0.0469100
    0.0163137      0.95143002    0.0481900
    0.0165312      0.95020002    0.0495300
    0.0167546      0.94931000    0.0518400
    0.0168686      0.94946003    0.0527700
    0.0169841      0.94942999    0.0531900
    0.0172200      0.94853997    0.0541400
    0.0174625      0.94742000    0.0557300
    0.0177120      0.94716001    0.0576500
    0.0179687      0.94655001    0.0580000
    0.0182329      0.94437999    0.0588700
    0.0185051      0.94221002    0.0612900
    0.0187855      0.94058001    0.0640000
    0.0190745      0.93936998    0.0672800
    0.0191038      0.93935001    0.0676500
    0.0194028      0.93888998    0.0708300
    0.0197113      0.93922001    0.0743700
    0.0198692      0.94035000    0.0758800
    0.0200297      0.94130999    0.0759100
    0.0203586      0.94068998    0.0755800
    0.0206985      0.93835998    0.0763600
    0.0210499      0.93563998    0.0788800
    0.0211939      0.93466002    0.0799800
    0.0213398      0.93370003    0.0812900
    0.0214877      0.93268001    0.0824500
    0.0216377      0.93096000    0.0836800
    0.0217898      0.92879999    0.0859200
    0.0219441      0.92686999    0.0893900
    0.0221005      0.92539001    0.0941200
    0.0222593      0.92636001     0.100700
    0.0224202      0.92962998     0.106000
    0.0225836      0.93494999     0.111100
    0.0227494      0.94388998     0.113700
    0.0229176      0.95402998     0.109900
    0.0230883      0.95806998    0.0995700
    0.0232615      0.95476997    0.0915400
    0.0234374      0.95012999    0.0892000
    0.0236160      0.94700998    0.0879100
    0.0238431      0.94300002    0.0869600
    0.0243106      0.93590999    0.0884700
    0.0247968      0.93084002    0.0920700
    0.0253029      0.92671001    0.0953900
    0.0258300      0.92265999    0.0995500
    0.0263796      0.91921997     0.104300
    0.0269530      0.91633999     0.109000
    0.0275520      0.91351998     0.113300
    0.0277369      0.91215998     0.114200
    0.0281782      0.90917003     0.118300
    0.0295200      0.90222001     0.130800
    0.0309960      0.89569998     0.145000
    0.0326274      0.88929999     0.161100
    0.0344400      0.88300002     0.179400
    0.0364659      0.87669998     0.200200
    0.0387450      0.86960000     0.223900
    0.0413280      0.85710001     0.252000
    0.0427531      0.85150003     0.276000
    0.0442800      0.85170001     0.299400
    0.0459200      0.85350001     0.322200
    0.0476862      0.85570002     0.344700
    0.0495936      0.85750002     0.367300
    0.0516600      0.85729998     0.390700
    0.0539061      0.85189998     0.416700
    0.0563564      0.83789998     0.453500
    0.0590400      0.82529998     0.515000
    0.0619920      0.83539999     0.598500
    0.0652547      0.87370002     0.686800
    0.0688800      0.93888998     0.772200
    0.0729318       1.0324900     0.847500
    0.0774900       1.1560000     0.901800
    0.0826560       1.3088000     0.890500
    0.0885600       1.3296000     0.869400
    0.0911647       1.3738999     0.917500
    0.0932211       1.4293001     0.932600
    0.0953723       1.4828000     0.936100
    0.0976252       1.5360999     0.933200
    0.0999952       1.5906999     0.926300
     0.102466       1.6515000     0.912200
     0.105000       1.7114000     0.873500
     0.107812       1.7476001     0.832600
     0.110997       1.7814000     0.794600
     0.114800       1.8155000     0.755200
     0.118001       1.8413000     0.725600
     0.121553       1.8675001     0.695600
     0.124996       1.8921000     0.668800
     0.127819       1.9115000     0.648200
