Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s2from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s2.lnk808 linesmicrons    n               k
      87.5000       2.7029901    0.0368200
      88.6364       2.7017000   0.00925000
      89.8026       2.6178899    0.0556100
      91.0000       2.5526199    0.0379900
      92.2297       2.6143999    0.0842100
      93.4931       2.6240699    0.0804300
      94.7917       2.6657200    0.0900300
      96.1268       2.6793599    0.0547500
      97.5000       2.6920099    0.0348700
      98.9130       2.6682100    0.0137100
