Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      16.5254      0.39193001     0.728160
      16.5655      0.38925999     0.770830
      16.6058      0.39076999     0.816700
      16.6463      0.39434001     0.851960
      16.6870      0.38970000     0.892520
      16.7279      0.39493999     0.935410
      16.7690      0.39947999     0.972760
      16.8104      0.40515000      1.00979
      16.8519      0.40816000      1.04591
      16.8936      0.41453001      1.08485
      16.9355      0.42135000      1.12090
      16.9776      0.42943001      1.15796
      17.0200      0.43700999      1.19368
      17.0625      0.44639999      1.23155
      17.1053      0.45697001      1.26874
      17.1482      0.47081000      1.30585
      17.1914      0.48298001      1.34134
      17.2348      0.49853000      1.38014
      17.2785      0.51555002      1.41785
      17.3223      0.53894001      1.45751
      17.3664      0.56454998      1.49241
      17.4107      0.59618998      1.52917
      17.4552      0.63525999      1.55913
      17.5000      0.68383002      1.58104
      17.5450      0.73662001      1.58115
      17.5902      0.78021997      1.55530
      17.6357      0.78951001      1.50890
      17.6814      0.75669998      1.47409
      17.7273      0.69993001      1.47731
      17.7734      0.65520000      1.51700
      17.8198      0.62734997      1.57008
      17.8665      0.61761999      1.63078
      17.9134      0.61883003      1.68688
      17.9605      0.62650001      1.74313
      18.0079      0.63866001      1.79722
      18.0556      0.65596002      1.85055
      18.1035      0.67176998      1.90456
      18.1516      0.69853002      1.96544
      18.2000      0.73131001      2.01841
      18.2487      0.76420999      2.07345
      18.2976      0.80452001      2.13637
      18.3468      0.86556000      2.19422
      18.3962      0.92676002      2.24485
      18.4459       1.0096600      2.29560
      18.4959       1.1016999      2.33075
      18.5462       1.2256600      2.35551
      18.5967       1.3771600      2.32392
      18.6475       1.5177000      2.19594
      18.6986       1.5440100      1.99816
      18.7500       1.4482000      1.82644
      18.8016       1.2616400      1.75450
      18.8536       1.0859500      1.80711
      18.9058      0.96976000      1.92311
      18.9583      0.91277999      2.06137
      19.0111      0.89525002      2.19664
      19.0643      0.90847999      2.32627
      19.1176      0.93365002      2.44589
      19.1714      0.97970003      2.56458
      19.2253       1.0238600      2.67388
      19.2797       1.0919400      2.80185
      19.3343       1.1722800      2.90956
      19.3892       1.2678100      3.03437
      19.4444       1.3829300      3.13892
      19.5000       1.5066100      3.26002
      19.5559       1.6681900      3.37498
      19.6121       1.8590600      3.48030
      19.6686       2.0765800      3.57422
      19.7254       2.3641601      3.66060
      19.7826       2.7160101      3.65147
      19.8401       3.0579801      3.54325
      19.8980       3.3905201      3.35986
      19.9561       3.6568799      3.04105
      20.0147       3.7887101      2.71969
      20.0735       3.8550799      2.36874
      20.1327       3.7933199      2.08459
      20.1923       3.7357900      1.85683
