

Wavelength [microns]  Re(m)       Im(m)
      6.59696       1.2269516   0.00473551
      6.60016       1.2263206   0.00475624
      6.60336       1.2256880   0.00477709
      6.60656       1.2250532   0.00479806
      6.60976       1.2244167   0.00481916
      6.61296       1.2237787   0.00484036
      6.61616       1.2231389   0.00486169
      6.61936       1.2224970   0.00488315
      6.62256       1.2218535   0.00490473
      6.62576       1.2212080   0.00492644
      6.62896       1.2205608   0.00494827
      6.63216       1.2199116   0.00497023
      6.63536       1.2192606   0.00499232
      6.63856       1.2186078   0.00501453
      6.64176       1.2179530   0.00503688
      6.64496       1.2172967   0.00505935
      6.64816       1.2166381   0.00508196
      6.65137       1.2159775   0.00510470
      6.65457       1.2153155   0.00512758
      6.65777       1.2146512   0.00515059
      6.66097       1.2139851   0.00517373
      6.66417       1.2133172   0.00519702
      6.66737       1.2126470   0.00522044
      6.67057       1.2119751   0.00524400
      6.67377       1.2113012   0.00526770
      6.67697       1.2106253   0.00529155
      6.68017       1.2099473   0.00531553
      6.68337       1.2092675   0.00533966
      6.68657       1.2085857   0.00536393
      6.68977       1.2079020   0.00538835
      6.69297       1.2072161   0.00541292
      6.69617       1.2065282   0.00543764
      6.69937       1.2058382   0.00546250
      6.70257       1.2051464   0.00548751
      6.70577       1.2044523   0.00551269
      6.70897       1.2037563   0.00553800
      6.71217       1.2030581   0.00556348
      6.71537       1.2023580   0.00558911
      6.71857       1.2016557   0.00561489
      6.72177       1.2009513   0.00564084
      6.72497       1.2002447   0.00566695
      6.72817       1.1995360   0.00569321
      6.73137       1.1988252   0.00571964
      6.73457       1.1981125   0.00574622
      6.73777       1.1973976   0.00577297
      6.74097       1.1966803   0.00579989
      6.74417       1.1959609   0.00582698
      6.74737       1.1952394   0.00585424
      6.75058       1.1945157   0.00588166
      6.75378       1.1937896   0.00590926
      6.75698       1.1930616   0.00593702
      6.76018       1.1923313   0.00596497
      6.76338       1.1915985   0.00599309
      6.76658       1.1908636   0.00602139
      6.76978       1.1901267   0.00604986
      6.77298       1.1893873   0.00607851
      6.77618       1.1886456   0.00610735
      6.77938       1.1879017   0.00613637
      6.78258       1.1871555   0.00616557
      6.78578       1.1864071   0.00619495
      6.78898       1.1856561   0.00622454
