

Wavelength [microns]  Re(m)       Im(m)
      5.93129       1.3330529   0.00247208
      5.93449       1.3326653   0.00248100
      5.93769       1.3322769   0.00248997
      5.94089       1.3318876   0.00249897
      5.94409       1.3314974   0.00250802
      5.94729       1.3311065   0.00251709
      5.95050       1.3307147   0.00252622
      5.95370       1.3303221   0.00253537
      5.95690       1.3299285   0.00254457
      5.96010       1.3295343   0.00255381
      5.96330       1.3291390   0.00256309
      5.96650       1.3287430   0.00257241
      5.96970       1.3283460   0.00258177
      5.97290       1.3279481   0.00259117
      5.97610       1.3275496   0.00260061
      5.97930       1.3271499   0.00261010
      5.98250       1.3267496   0.00261962
      5.98570       1.3263482   0.00262919
      5.98890       1.3259461   0.00263879
      5.99210       1.3255429   0.00264845
      5.99530       1.3251389   0.00265814
      5.99850       1.3247341   0.00266787
      6.00170       1.3243283   0.00267765
      6.00490       1.3239217   0.00268747
      6.00810       1.3235141   0.00269734
      6.01130       1.3231057   0.00270725
      6.01450       1.3226963   0.00271720
      6.01770       1.3222861   0.00272719
      6.02090       1.3218749   0.00273724
      6.02410       1.3214628   0.00274732
      6.02730       1.3210497   0.00275745
      6.03050       1.3206359   0.00276762
      6.03370       1.3202209   0.00277784
      6.03690       1.3198051   0.00278811
      6.04010       1.3193884   0.00279842
      6.04330       1.3189708   0.00280878
      6.04650       1.3185523   0.00281918
      6.04971       1.3181326   0.00282963
      6.05291       1.3177122   0.00284013
      6.05611       1.3172908   0.00285067
      6.05931       1.3168684   0.00286127
      6.06251       1.3164451   0.00287191
      6.06571       1.3160207   0.00288259
      6.06891       1.3155956   0.00289333
      6.07211       1.3151693   0.00290411
      6.07531       1.3147422   0.00291494
      6.07851       1.3143141   0.00292583
      6.08171       1.3138850   0.00293676
      6.08491       1.3134549   0.00294774
      6.08811       1.3130239   0.00295877
      6.09131       1.3125917   0.00296985
      6.09451       1.3121587   0.00298098
      6.09771       1.3117248   0.00299216
      6.10091       1.3112898   0.00300339
      6.10411       1.3108537   0.00301468
      6.10731       1.3104167   0.00302602
      6.11051       1.3099788   0.00303740
      6.11371       1.3095397   0.00304884
      6.11691       1.3090996   0.00306033
      6.12011       1.3086586   0.00307188
      6.12331       1.3082166   0.00308348
      6.12651       1.3077735   0.00309513
      6.12971       1.3073293   0.00310684
      6.13291       1.3068843   0.00311859
      6.13611       1.3064381   0.00313041
      6.13931       1.3059909   0.00314227
