Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
      2.01800       2.6040001     0.717700
      2.03600       2.6080000     0.716600
      2.05300       2.6120000     0.715400
      2.07100       2.6140001     0.714300
      2.08900       2.6170001     0.713800
      2.10800       2.6190000     0.714100
      2.12600       2.6210001     0.715300
      2.14500       2.6250000     0.717000
      2.16300       2.6289999     0.718600
      2.18200       2.6340001     0.719800
      2.20100       2.6389999     0.720000
      2.22000       2.6450000     0.718800
      2.24000       2.6489999     0.716700
      2.25900       2.6520000     0.714300
      2.27900       2.6540000     0.712400
      2.29900       2.6550000     0.711500
      2.31900       2.6550000     0.712400
      2.33900       2.6570001     0.714600
      2.36000       2.6589999     0.717500
      2.38000       2.6630001     0.720200
      2.40100       2.6680000     0.722000
      2.42200       2.6740000     0.722400
      2.44300       2.6789999     0.721700
      2.46500       2.6830001     0.720500
      2.48600       2.6849999     0.719400
      2.50800       2.6870000     0.719200
      2.53000       2.6900001     0.720100
      2.55200       2.6919999     0.721700
      2.57400       2.6960001     0.723500
      2.59600       2.7000000     0.725100
      2.61900       2.7040000     0.725900
      2.64200       2.7090001     0.725900
      2.66500       2.7130001     0.725600
      2.68800       2.7170000     0.725000
      2.71200       2.7200000     0.724600
      2.73500       2.7219999     0.724600
      2.75900       2.7249999     0.724900
      2.78300       2.7270000     0.725700
      2.80800       2.7300000     0.726900
      2.83200       2.7330000     0.728600
      2.85700       2.7370000     0.730300
      2.88200       2.7409999     0.731800
      2.90700       2.7460001     0.732600
      2.93200       2.7509999     0.732600
      2.95800       2.7550001     0.732000
      2.98400       2.7579999     0.731300
      3.01000       2.7609999     0.730900
      3.03600       2.7639999     0.731000
      3.06300       2.7660000     0.731600
      3.08900       2.7690001     0.732500
      3.11600       2.7720001     0.733700
      3.14300       2.7750001     0.735000
      3.17100       2.7780001     0.736100
      3.19900       2.7820001     0.736700
      3.22600       2.7850001     0.736700
      3.25500       2.7880001     0.736600
      3.28300       2.7890000     0.737300
      3.31200       2.7900000     0.739800
      3.34100       2.7920001     0.744000
      3.37000       2.7960000     0.748800
      3.39900       2.8020000     0.753000
      3.42900       2.8099999     0.755300
      3.45900       2.8169999     0.755800
      3.48900       2.8230000     0.755100
      3.51900       2.8290000     0.753700
      3.55000       2.8329999     0.752000
      3.58100       2.8369999     0.750500
      3.61200       2.8399999     0.749500
      3.64400       2.8420000     0.749200
      3.67600       2.8450000     0.749600
      3.70800       2.8469999     0.750300
      3.74000       2.8499999     0.751400
      3.77300       2.8540001     0.752500
      3.80600       2.8570001     0.753300
      3.83900       2.8610001     0.753900
      3.87200       2.8640001     0.754500
      3.90600       2.8659999     0.755500
      3.94000       2.8699999     0.757300
      3.97500       2.8729999     0.759300
      4.00900       2.8780000     0.760900
      4.04400       2.8829999     0.761600
      4.08000       2.8880000     0.761500
      4.11500       2.8920000     0.760800
      4.15100       2.8950000     0.759900
      4.18700       2.8970001     0.759700
      4.22400       2.8980000     0.761100
      4.26100       2.9010000     0.763800
      4.29800       2.9050000     0.766500
      4.33500       2.9100001     0.768000
      4.37300       2.9150000     0.768500
      4.41100       2.9189999     0.768900
      4.45000       2.9230001     0.769300
      4.48900       2.9270000     0.769700
      4.52800       2.9310000     0.769700
      4.56800       2.9340000     0.769600
      4.60700       2.9370000     0.769900
      4.64800       2.9389999     0.771100
      4.68800       2.9419999     0.772900
      4.72900       2.9460001     0.775000
      4.77000       2.9510000     0.776700
      4.81200       2.9570000     0.777400
      4.85400       2.9619999     0.776800
      4.89600       2.9660001     0.775600
      4.93900       2.9700000     0.774400
      4.98200       2.9740000     0.773100
      5.02600       2.9770000     0.771300
      5.07000       2.9790001     0.769300
      5.11400       2.9800000     0.767600
      5.15800       2.9800000     0.766900
      5.20300       2.9800000     0.767700
      5.24900       2.9809999     0.769900
      5.29500       2.9830000     0.772100
      5.34100       2.9870000     0.772800
      5.38700       2.9890001     0.771900
      5.43400       2.9900000     0.769900
      5.48200       2.9879999     0.768600
      5.53000       2.9860001     0.770500
      5.57800       2.9840000     0.775000
      5.62700       2.9840000     0.779100
      5.67600       2.9840000     0.782800
      5.72500       2.9840000     0.788900
      5.77500       2.9860001     0.797000
      5.82600       2.9920001     0.802200
      5.87700       2.9979999     0.803500
      5.92800       3.0009999     0.803700
      5.98000       3.0020001     0.804700
      6.03200       3.0009999     0.807100
      6.08400       3.0009999     0.811200
      6.13800       3.0000000     0.817300
      6.19100       3.0009999     0.825200
      6.24500       3.0039999     0.833700
      6.30000       3.0100000     0.841300
      6.35500       3.0160000     0.846600
      6.41000       3.0220001     0.850800
      6.46600       3.0270000     0.855400
      6.52200       3.0320001     0.859900
      6.57900       3.0369999     0.864400
      6.63700       3.0430000     0.869600
      6.69500       3.0500000     0.874100
      6.75300       3.0580001     0.875700
      6.81200       3.0639999     0.875200
      6.87200       3.0669999     0.874700
      6.93100       3.0680001     0.875600
      6.99200       3.0669999     0.879700
      7.05300       3.0690000     0.888000
      7.11500       3.0739999     0.895500
      7.17700       3.0790000     0.898900
      7.23900       3.0820000     0.905800
      7.30200       3.0880001     0.915000
      7.36600       3.0969999     0.920000
      7.43100       3.1040001     0.923500
      7.49500       3.1110001     0.927800
      7.56100       3.1170001     0.932200
      7.62700       3.1229999     0.935400
      7.69300       3.1280000     0.939200
      7.76000       3.1329999     0.948100
      7.82800       3.1429999     0.957200
      7.89700       3.1559999     0.960900
      7.96500       3.1659999     0.959000
      8.03500       3.1719999     0.959100
      8.10500       3.1770000     0.963400
      8.17600       3.1849999     0.967000
      8.24700       3.1919999     0.970400
      8.31900       3.2000000     0.973900
      8.39200       3.2070000     0.977300
      8.46500       3.2160001     0.980600
      8.53900       3.2240000     0.983900
      8.61300       3.2330000     0.987000
      8.68900       3.2420001     0.990100
      8.76400       3.2530000     0.994700
      8.84100       3.2650001     0.993300
      8.91800       3.2730000     0.989400
      8.99600       3.2780001     0.992200
      9.07400       3.2869999     0.994500
      9.15400       3.2969999     0.998200
      9.23300       3.3099999     0.997200
      9.31400       3.3190000     0.991100
      9.39500       3.3250000     0.990500
      9.47700       3.3329999     0.990700
      9.56000       3.3410001     0.988300
      9.64400       3.3480000     0.985600
      9.72800       3.3540001     0.984200
      9.81300       3.3610001     0.983200
      9.89800       3.3690000     0.981900
      9.98500       3.3759999     0.977500
      10.0700       3.3810000     0.974600
      10.1600       3.3850000     0.968900
      10.2500       3.3859999     0.967200
      10.3400       3.3900001     0.969500
      10.4300       3.3959999     0.966700
      10.5200       3.3970001     0.962800
      10.6100       3.3980000     0.965000
      10.7000       3.4030001     0.968600
